Đây là phiên bản Final của BẢNG 2 – DATA MENU CHI TIẾT, bao gồm toàn bộ 4 danh mục. Bảng này được xây dựng dựa trên schema và bộ thuật ngữ đã được chuẩn hoá cuối cùng, đảm bảo tính nhất quán và sẵn sàng cho đội ngũ kỹ thuật triển khai mà không cần giải thích lại.																														
BẢNG 2 – DATA MENU CHI TIẾT (CHO DEV) - PHIÊN BẢN FINAL																														
code	name	group	category	strategic_role	short_description	key_selling_points	food_tags	taste_profile	aroma	texture	temperature	portion_size	post_meal_experience	suitable_for	spice_level	price	prep_time_min	prep_time_max	ingredients	allergen_profile	origin	supplier_details	preparation_process	health_benefits	options	nutrition_info	customer_moods_match	behavioral_style_match	appearance_style_match	communication_tone_match
DRK-CFS	Cà Phê Sữa Đá	Giải khát nhanh	Coffee	Sản phẩm Phổ thông (Mainstream/Volume Driver)	Cà phê Robusta pha phin, kết hợp sữa đặc có đường, phục vụ với đá viên.	- Tỉnh táo tức thì<br>- Vị đậm đà, quen thuộc	ca_phe_sua, ca_phe_viet_nam, nang_luong, tinh_tao, buoi_sang	Đắng đậm của cà phê, hòa quyện với vị ngọt béo của sữa đặc.	Thơm nồng cà phê Robusta rang.	Lỏng, sánh nhẹ	Lạnh	Vừa đủ	Tỉnh táo, sảng khoái, tăng cường sự tập trung.	Nhân viên văn phòng, người cần tỉnh táo, người thích vị ngọt	0	35000	10	15	Cà phê Robusta, sữa đặc, nước, đá	Sữa	Hạt cà phê Robusta từ Đắk Lắk, sữa đặc từ Vinamilk.	[{"ingredient": "Cà phê Robusta", "supplier_name": "Nông Sản Sạch Đắk Lắk", "type": "Thương hiệu địa phương", "verification_notes": "Cà phê Robusta nguyên chất từ Đắk Lắk, rang xay nguyên bản.", "reference_links": ["https://nongsansachdaklak.com/products/cafe-nguyen-chat-daklak", "https://www.facebook.com/share/1CJoMQZnFd/"]}]	Cà phê chiết xuất bằng phin, hòa tan với sữa đặc và thêm đá.	Hỗ trợ tăng cường sự tập trung	null	{"calories_kcal": "~100-150", "sugar_g": "~20-25"}	buon_ngu, met_moi, can_tap_trung	fast_decision ("Quyết định nhanh"), routine_oriented ("Thiên về thói quen")	office_formal ("Công sở, trang trọng"), simple ("Đơn giản"), sporty ("Thể thao, năng động")	short_direct ("Ngắn gọn, Trực tiếp"), energetic ("Năng lượng")
DRK-CFD	Cà Phê Đen Đá	Giải khát nhanh	Coffee	Sản phẩm Cốt lõi (Core)	Cà phê Robusta nguyên chất pha phin, không đường, phục vụ với đá viên.	- Vị cà phê nguyên bản<br>- Tỉnh táo cao độ	ca_phe_den, khong_duong, nang_luong_cao, tinh_tao, tap_trung	Đắng gắt, mạnh mẽ, hậu vị ngọt nhẹ tự nhiên.	Thơm nồng nàn, nguyên bản của hạt cà phê rang.	Lỏng	Lạnh	Vừa đủ	Tỉnh táo cao độ, tăng cường sự tập trung tối đa.	Người cần tập trung cao độ, người không hảo ngọt	0	35000	10	15	Cà phê Robusta, nước, đá	Không có	Hạt cà phê Robusta từ Đắk Lắk.	[{"ingredient": "Cà phê Robusta", "supplier_name": "Nông Sản Sạch Đắk Lắk", "type": "Thương hiệu địa phương", "verification_notes": "Cà phê Robusta nguyên chất từ Đắk Lắk, rang xay nguyên bản.", "reference_links": ["https://nongsansachdaklak.com/products/cafe-nguyen-chat-daklak", "https://www.facebook.com/share/1CJoMQZnFd/"]}]	Cà phê chiết xuất bằng phin, sau đó thêm đá.	Hỗ trợ tăng cường sự tập trung, không chứa đường	[{"group_name": "Mức đường", "type": "single", "choices": [{"name": "Thêm ít đường", "price_delta": 0}]}]	{"calories_kcal": "~5-10", "sugar_g": "~0"}	buon_ngu, can_tap_trung_cao_do	fast_decision ("Quyết định nhanh"), routine_oriented ("Thiên về thói quen")	office_formal ("Công sở, trang trọng"), simple ("Đơn giản")	short_direct ("Ngắn gọn, Trực tiếp")
DRK-TRL	Trà Lipton Chanh	Giải khát nhanh	Tea	Sản phẩm Dẫn dắt (Lead Magnet)	Trà Lipton túi lọc pha với nước nóng, thêm đường, chanh tươi và đá.	- Giải khát sảng khoái<br>- Vị chua ngọt cân bằng	giai_khat, giai_nhiet, tra_chanh, vitamin_c, sau_bua_an	Vị trà đen nhẹ, kết hợp vị chua thanh của chanh và ngọt dịu của đường.	Hương nhẹ của trà đen và mùi thanh mát của chanh tươi.	Lỏng	Lạnh	Vừa đủ	Sảng khoái, nhẹ nhàng, giảm cảm giác ngấy sau khi ăn.	Mọi lứa tuổi, sau bữa ăn, trời nóng	0	35000	10	15	Trà Lipton, chanh, đường, nước, đá	Không có	Chanh tươi không hạt từ nhà cung cấp địa phương.	[{"ingredient": "Nguyên liệu phụ (chanh, đường, trà Lipton)", "supplier_name": "Bách Hóa Xanh / WinMart", "type": "Chuỗi siêu thị", "verification_notes": "Sản phẩm mua trực tiếp, có hóa đơn đối chiếu.", "reference_links": []}]	Trà túi lọc hãm với nước sôi, thêm nước cốt chanh, đường và đá.	Bổ sung vitamin C từ chanh tươi	null	{"calories_kcal": "~80-100", "sugar_g": "~20"}	nong_nuc, met_moi, an_ngay	explorer ("Người khám phá"), fast_decision ("Quyết định nhanh")	simple ("Đơn giản"), sporty ("Thể thao, năng động")	soft_slow ("Nhẹ nhàng, Chậm rãi"), short_direct ("Ngắn gọn, Trực tiếp")
DRK-NCC	Nước Chanh	Giải khát nhanh	Juice	Sản phẩm Dẫn dắt (Lead Magnet)	Nước cốt chanh tươi pha với đường và nước lọc, phục vụ với đá.	- Vitamin C tự nhiên<br>- Giải nhiệt nhanh	giai_khat, giai_nhiet, khong_caffeine, vitamin_c, healthy	Chua thanh của chanh tươi, cân bằng với vị ngọt của đường.	Hương thơm tự nhiên, tươi mát của chanh.	Lỏng	Lạnh	Vừa đủ	Thanh mát cơ thể, sảng khoái.	Người cần giải nhiệt, người tránh caffeine, trẻ em	0	25000	10	15	Chanh, đường, nước, đá	Không có	Chanh tươi không hạt từ nhà cung cấp địa phương.	[{"ingredient": "Chanh tươi", "supplier_name": "Bách Hóa Xanh / WinMart", "type": "Chuỗi siêu thị", "verification_notes": "Sản phẩm mua trực tiếp, có hóa đơn đối chiếu.", "reference_links": []}]	Nước cốt chanh vắt trực tiếp, hòa tan với đường và nước lọc, thêm đá.	Bổ sung vitamin C từ chanh tươi, không chứa caffeine	null	{"calories_kcal": "~70-90", "sugar_g": "~18"}	nong_nuc, khat_nuoc	health_conscious ("Quan tâm sức khoẻ"), fast_decision ("Quyết định nhanh")	simple ("Đơn giản"), sporty ("Thể thao, năng động")	short_direct ("Ngắn gọn, Trực tiếp")
DRK-TRG	Trà Gừng Ấm Nóng	Giải khát nhanh	Herbal Tea	Sản phẩm Chữa lành (Healing Product)	Gừng tươi thái lát nấu cùng nước nóng, có thể thêm đường hoặc mật ong.	- Làm ấm cơ thể<br>- Sử dụng gừng tươi	am_bung, giai_cam, tot_cho_co_hong, mon_cho_troi_lanh	Cay nồng của gừng tươi, cân bằng bởi vị ngọt thanh.	Thơm nồng ấm, đặc trưng của gừng tươi.	Lỏng	Nóng	Nhẹ	Ấm người, dễ chịu, thư giãn cổ họng.	Người bị cảm lạnh, cần làm ấm cơ thể, trời lạnh	1	30000	10	15	Gừng, nước, đường, mật ong	Không có	Gừng tươi và mật ong nguyên chất từ nhà cung cấp địa phương.	[{"ingredient": "Gừng tươi, Mật ong", "supplier_name": "Bách Hóa Xanh / WinMart", "type": "Chuỗi siêu thị", "verification_notes": "Sản phẩm mua trực tiếp, có hóa đơn đối chiếu.", "reference_links": []}]	Gừng tươi thái lát nấu sôi cùng nước. Thêm đường/mật ong khi phục vụ.	Hỗ trợ làm ấm cơ thể, hỗ trợ làm dịu cổ họng	[{"group_name": "Chất tạo ngọt", "type": "single", "choices": [{"name": "Dùng Mật Ong", "price_delta": 5000}]}]	{"calories_kcal": "~50-70", "sugar_g": "~12"}	met, cam, lanh, can_thu_gian	calm_reflective ("Điềm tĩnh, cân nhắc"), health_conscious ("Quan tâm sức khoẻ")	simple ("Đơn giản"), office_formal ("Công sở, trang trọng")	soft_slow ("Nhẹ nhàng, Chậm rãi")
DRK-WTR	Nước Lọc Chai (Tự Phục Vụ)	Tiện ích Miễn phí	Amenity	Sản phẩm Tiện ích (Utility Product)	Nước khoáng tinh khiết đóng chai 500ml, miễn phí, tự phục vụ tại quầy.	- Miễn phí<br>- Tự phục vụ	tu_phuc_vu, mien_phi, nuoc_suoi	Tinh khiết, không vị.	Không mùi.	Lỏng	Lạnh	Chai 500ml & 350ml	Bù nước, thanh lọc vị giác.	Mọi đối tượng.	0	0	0	0	Nước khoáng tinh khiết.	Không có	Nhà cung cấp Aquafina, La Vie.	[{"ingredient": "Nước đóng chai", "supplier_name": "Bách Hóa Xanh / WinMart", "type": "Chuỗi siêu thị", "verification_notes": "Sản phẩm từ các thương hiệu lớn như Aquafina, Lavie...", "reference_links": []}]	Tự phục vụ tại quầy chính.	Bù nước cho cơ thể.	[{"group_name": "Thương hiệu", "type": "info_only", "choices": ["Aquafina", "La Vie"]}]	{"calories_kcal": "~0", "sugar_g": "~0"}	khat_nuoc	fast_decision ("Quyết định nhanh")	simple ("Đơn giản")	short_direct ("Ngắn gọn, Trực tiếp")
FST-CCR	Cơm Chiên Rau Củ	Nạp năng lượng tức thì	Quick Meal	Sản phẩm Phổ thông (Mainstream/Volume Driver)	Cơm trắng chiên với các loại rau củ thái hạt lựu.	- Chắc bụng, đủ năng lượng<br>- Món ăn quen thuộc	com_chien, rau_cu, an_trua, bua_chinh, chay_duoc	Mặn, ngọt nhẹ từ rau củ.	Thơm mùi cơm chiên	Hạt cơm săn, rau củ giòn.	Nóng	Vừa đủ no	Chắc bụng, cung cấp năng lượng bền bỉ.	Bữa trưa, bữa ăn chính nhanh gọn	0	40000	15	25	Cơm, rau củ, gia vị	Đậu nành (nước tương)	Nguyên liệu tươi mới được chọn mua mỗi sáng.	[{"ingredient": "Gạo, rau củ theo mùa, gia vị", "supplier_name": "Bách Hóa Xanh / WinMart", "type": "Chuỗi siêu thị", "verification_notes": "Nguyên liệu tươi mới mua mỗi ngày, có hóa đơn đối chiếu.", "reference_links": []}]	Cơm được chiên cùng các loại rau củ thái hạt lựu.	Cung cấp năng lượng, chất xơ từ rau củ	null	{"calories_kcal": "~500-600", "sugar_g": "~5"}	doi_bung, an_trua	routine_oriented ("Thiên về thói quen"), fast_decision ("Quyết định nhanh")	simple ("Đơn giản"), office_formal ("Công sở, trang trọng")	short_direct ("Ngắn gọn, Trực tiếp"), energetic ("Năng lượng")
FST-CTC	Cơm Trứng Chiên	Nạp năng lượng tức thì	Quick Meal	Sản phẩm Phổ thông (Mainstream/Volume Driver)	Cơm trắng nóng, phục vụ với trứng gà ốp la hoặc chiên, rưới nước tương.	- Cực kỳ nhanh chóng<br>- Cơ bản, dễ ăn	com_trung_chien, an_sang, an_trua, com_vien	Mặn, béo từ trứng.	Thơm mùi trứng chiên và cơm.	Cơm mềm, trứng mềm.	Nóng	Vừa đủ no	Chắc bụng, cung cấp năng lượng.	Cần ăn rất nhanh, bữa ăn đơn giản, bữa sáng/trưa	0	40000	15	25	Cơm, trứng, nước tương	Trứng, Đậu nành (nước tương)	Nguyên liệu tươi mới được chọn mua mỗi sáng.	[{"ingredient": "Gạo, trứng, gia vị", "supplier_name": "Bách Hóa Xanh / WinMart", "type": "Chuỗi siêu thị", "verification_notes": "Nguyên liệu tươi mới mua mỗi ngày, có hóa đơn đối chiếu.", "reference_links": []}]	Cơm trắng nấu chín, chiên cùng trứng hoặc ốp la, rưới nước tương.	Cung cấp protein từ trứng	[{"group_name": "Chế biến trứng", "type": "single", "choices": [{"name": "Ốp la lòng đào", "price_delta": 0}, {"name": "Ốp la chín kỹ", "price_delta": 0}]}]	{"calories_kcal": "~450-550", "sugar_g": "~2"}	doi_bung, an_sang, an_trua	fast_decision ("Quyết định nhanh"), routine_oriented ("Thiên về thói quen")	simple ("Đơn giản"), sporty ("Thể thao, năng động")	short_direct ("Ngắn gọn, Trực tiếp"), energetic ("Năng lượng")
FST-MGT	Mì Gói Trứng	Nạp năng lượng tức thì	Quick Meal	Sản phẩm Phổ thông (Mainstream/Volume Driver)	Mì gói ăn liền nấu với nước sôi và thêm một quả trứng gà, có thể tùy chọn các loại mì Việt Nam.	- No nhanh<br>- Tiện lợi, nóng hổi<br>- Tùy chọn mì quen thuộc	an_nong, no_nhanh, tien_loi, an_trua_nhanh, mi_viet_nam	Phụ thuộc vào loại mì được chọn (chua cay/đậm đà), béo từ trứng.	Thơm đặc trưng của loại mì được chọn.	Sợi mì dai (tùy loại), nước lỏng.	Nóng	Vừa đủ no	No bụng nhanh chóng, ấm người.	Người cần bữa ăn nhanh, khi đói, tiết kiệm thời gian	Phụ thuộc vào lựa chọn (1-2)	40000	15	25	Mì ăn liền (tùy chọn), trứng, gói gia vị, nước	Gluten, Trứng	Nguyên liệu từ các chuỗi siêu thị (Bách Hóa Xanh, Winmart).	[{"ingredient": "Mì ăn liền, trứng", "supplier_name": "Bách Hóa Xanh / WinMart", "type": "Chuỗi siêu thị", "verification_notes": "Sản phẩm từ các thương hiệu phổ biến như Kokomi, Omachi, Unif..., có hóa đơn đối chiếu.", "reference_links": []}]	Mì được trần qua nước sôi, sau đó thêm gói gia vị và trứng với nước sôi.	Cung cấp năng lượng tức thì	[{"group_name": "Chọn loại mì", "type": "single", "choices": [{"name": "Kokomi Đại Tôm Chua Cay (Mặc định)", "price_delta": 0}, {"name": "Omachi Sườn Hầm Ngũ Quả", "price_delta": 10000}, {"name": "3 Miền Unif Tôm Chua Cay", "price_delta": 5000}]}, {"group_name": "Tùy chọn thêm", "type": "multiple", "choices": [{"name": "Thêm 1 trứng", "price_delta": 10000}, {"name": "Thêm xúc xích", "price_delta": 15000}]}]	{"calories_kcal": "~450-550", "sugar_g": "~5"}	doi_bung, can_an_nhanh, them_an_chua_cay	fast_decision ("Quyết định nhanh"), routine_oriented ("Thiên về thói quen"), explorer ("Người khám phá")	simple ("Đơn giản"), sporty ("Thể thao, năng động")	short_direct ("Ngắn gọn, Trực tiếp")
FST-BCG	Bún Chả Giò	Nạp năng lượng tức thì	Quick Meal	Sản phẩm Cốt lõi (Core)	Bún tươi, chả giò chiên giòn, rau sống, phục vụ với nước mắm chua ngọt.	- Đủ chất (tinh bột, đạm, xơ)<br>- Cân bằng hương vị	bun_cha_gio, mon_nuoc_mat, an_trua, du_chat	Chua, cay, mặn, ngọt cân bằng, béo giòn từ chả giò.	Thơm mùi chả giò chiên và nước mắm tỏi ớt.	Sợi bún mềm, chả giò giòn, rau tươi	Mát	Vừa đủ no	Sảng khoái, không gây ngán hay nặng bụng.	Bữa trưa, bữa ăn chính nhanh gọn, trời nóng	1	40000	15	25	Bún, chả giò, rau, nước mắm	Gluten, Cá (nước mắm)	Nguyên liệu tươi mới được chọn mua mỗi sáng.	[{"ingredient": "Bún tươi, chả giò, rau sống, gia vị", "supplier_name": "Bách Hóa Xanh / WinMart", "type": "Chuỗi siêu thị", "verification_notes": "Nguyên liệu tươi mới mua mỗi ngày, có hóa đơn đối chiếu.", "reference_links": []}]	Chiên chả giò, chuẩn bị bún và rau sống, pha nước mắm.	Bữa ăn cân bằng các nhóm chất	[{"group_name": "Topping", "type": "single", "choices": [{"name": "Thêm Đậu Phộng", "price_delta": 0}]}]	{"calories_kcal": "~500-650", "sugar_g": "~15-20"}	an_ngon, khong_biet_an_gi	explorer ("Người khám phá"), detail_oriented ("Chú trọng chi tiết")	office_formal ("Công sở, trang trọng"), business_casual ("Công sở, thoải mái")	inquisitive ("Tò mò, Hay hỏi"), soft_slow ("Nhẹ nhàng, Chậm rãi")
FST-MXR	Miến Xào Rau Củ	Nạp năng lượng tức thì	Quick Meal	Sản phẩm Cốt lõi (Core)	Miến dong xào cùng các loại rau củ theo mùa (cà rốt, nấm, hành tây).	- Lựa chọn nhẹ bụng<br>- Nhiều chất xơ	an_chay, mon_xao, healthy, nhieu_rau, nhe_bung	Ngọt thanh từ rau củ, mặn nhẹ từ gia vị.	Thơm mùi rau củ xào tỏi.	Sợi miến dai, rau củ giòn	Nóng	Vừa đủ no	Nhẹ bụng, dễ tiêu hóa, không gây buồn ngủ.	Bữa trưa nhẹ, người ăn chay, người quan tâm sức khoẻ	0	40000	15	25	Miến dong, cà rốt, nấm, rau củ khác	Đậu nành (nước tương)	Rau củ tươi theo mùa từ các nhà cung cấp địa phương.	[{"ingredient": "Miến dong, rau củ theo mùa, gia vị", "supplier_name": "Bách Hóa Xanh / WinMart", "type": "Chuỗi siêu thị", "verification_notes": "Nguyên liệu tươi mới mua mỗi ngày, có hóa đơn đối chiếu.", "reference_links": []}]	Xào rau củ với lửa lớn, sau đó cho miến đã ngâm vào xào chung.	Giàu chất xơ từ rau củ	null	{"calories_kcal": "~350-450", "sugar_g": "~5-10"}	an_nhe, an_chay, met_moi	health_conscious ("Quan tâm sức khoẻ"), calm_reflective ("Điềm tĩnh, cân nhắc")	simple ("Đơn giản"), office_formal ("Công sở, trang trọng")	soft_slow ("Nhẹ nhàng, Chậm rãi")
