Đây là phiên bản Final của BẢNG 2 – DATA MENU CHI TIẾT, bao gồm toàn bộ 4 danh mục. Bảng này được xây dựng dựa trên schema và bộ thuật ngữ đã được chuẩn hoá cuối cùng, đảm bảo tính nhất quán và sẵn sàng cho đội ngũ kỹ thuật triển khai mà không cần giải thích lại.																														
PRE-BF-CHA	Cháo Thập Cẩm & Sữa Chua	Khẩu phần ăn đăng ký trước	Bữa sáng	Sản phẩm Cốt lõi (Core)	Cháo hầm xương với thịt bằm, tôm, nấm. Ăn kèm sữa chua.	- Bữa sáng ấm, dễ tiêu hóa<br>- Đủ chất	bua_sang, an_sang_lanh_manh, chao_dinh_duong, de_tieu	Ngọt thanh từ nước xương, đậm đà từ thịt và tôm.	Thơm mùi cháo ninh, hành, tiêu.	Mềm, mịn	Nóng	Vừa đủ no	Ấm bụng, nhẹ nhàng, sẵn sàng cho ngày mới.	Nhân sự đăng ký bữa sáng theo tuần hoặc tối thiểu 24h	0	35000	-	-	Gạo, xương, thịt heo, tôm, nấm, sữa chua	Hải sản, Sữa	Nguyên liệu tươi mới được chọn mua mỗi sáng.	[{"ingredient": "Gạo, thịt, tôm, rau củ, sữa chua", "supplier_name": "Bách Hóa Xanh / WinMart", "type": "Chuỗi siêu thị", "verification_notes": "Nguyên liệu tươi mới mua mỗi ngày, có hóa đơn đối chiếu.", "reference_links": []}]	Cháo ninh từ nước hầm xương, topping xào thơm và cho vào sau.	Bữa sáng cân bằng, dễ tiêu hóa	[{"group_name": "Tùy chọn", "type": "single", "choices": [{"name": "Không lấy hành/ngò", "price_delta": 0}]}]	{"calories_kcal": "~400-500", "sugar_g": "~10-15"}	met_moi, an_nhe, can_chuan_bi_cho_ngay_moi	routine_oriented ("Thiên về thói quen"), calm_reflective ("Điềm tĩnh, cân nhắc")	simple ("Đơn giản"), office_formal ("Công sở, trang trọng")	soft_slow ("Nhẹ nhàng, Chậm rãi")
PRE-BF-BTN	Bún Thịt Nướng Chả Giò	Khẩu phần ăn đăng ký trước	Bữa sáng	Sản phẩm Đặc trưng (Signature)	Bún tươi, thịt nướng, chả giò, rau sống và nước mắm chua ngọt.	- Bữa sáng đủ năng lượng<br>- Thịt nướng thơm	bua_sang, bun_thit_nuong, no_lau, nang_luong_cao	Mặn, ngọt, chua, béo hài hòa.	Thơm mùi thịt nướng than, nước mắm.	Sợi bún mềm, thịt mềm, chả giò giòn	Mát	No lâu	Tràn đầy năng lượng, tinh thần hứng khởi.	Nhân sự đăng ký bữa sáng theo tuần hoặc tối thiểu 24h	1	40000	-	-	Bún, thịt heo, chả giò, rau, nước mắm, đậu phộng	Gluten, Cá (nước mắm), Đậu phộng	Nguyên liệu tươi mới được chọn mua mỗi sáng.	[{"ingredient": "Bún tươi, thịt heo, chả giò, rau sống", "supplier_name": "Bách Hóa Xanh / WinMart", "type": "Chuỗi siêu thị", "verification_notes": "Nguyên liệu tươi mới mua mỗi ngày, có hóa đơn đối chiếu.", "reference_links": []}]	Thịt ướp theo công thức riêng và nướng, chả giò chiên giòn.	Cung cấp năng lượng dồi dào cho buổi sáng	[{"group_name": "Tùy chọn", "type": "single", "choices": [{"name": "Không lấy đậu phộng", "price_delta": 0}]}]	{"calories_kcal": "~600-750", "sugar_g": "~20"}	can_nang_luong, doi_bung	energetic ("Năng lượng"), fast_decision ("Quyết định nhanh")	sporty ("Thể thao, năng động"), business_casual ("Công sở, thoải mái")	energetic ("Năng lượng"), short_direct ("Ngắn gọn, Trực tiếp")
PRE-BF-HLC	Combo Khoai Lang, Chuối & Sữa Chua	Khẩu phần ăn đăng ký trước	Bữa sáng	Sản phẩm Ngách (Niche Product)	Combo lành mạnh gồm khoai lang Nhật bùi ngọt, chuối giàu năng lượng và sữa chua nha đam mát lành.	- Nhanh, gọn, đủ chất<br>- Giàu chất xơ, tốt cho tiêu hóa	bua_sang, healthy, lanh_manh, giam_can, an_nhanh, khong_nau, tot_cho_tieu_hoa	Khoai lang bùi dẻo, chuối ngọt tự nhiên, sữa chua nha đam chua dịu, mát lành.	Thơm nhẹ tự nhiên của khoai luộc, chuối chín và sữa chua.	Khoai mềm dẻo, chuối mềm, sữa chua sánh mịn.	Mát	Nhẹ	Cảm giác cơ thể nhẹ nhàng, sảng khoái, không gây nặng bụng.	Người cần bữa sáng nhanh gọn, người tập luyện, người quan tâm sức khoẻ	0	35000	-	-	Khoai lang Nhật, chuối, sữa chua nha đam	Sữa	Nguyên liệu tươi mới được chọn mua mỗi sáng.	[{"ingredient": "Khoai lang, chuối, sữa chua", "supplier_name": "Bách Hóa Xanh / WinMart", "type": "Chuỗi siêu thị", "verification_notes": "Nguyên liệu tươi mới mua mỗi ngày, có hóa đơn đối chiếu.", "reference_links": []}]	Khoai lang được hấp/luộc chín. Phục vụ cùng chuối chín và sữa chua ướp lạnh.	Giàu chất xơ, hỗ trợ tiêu hóa, cung cấp năng lượng bền bỉ	null	{"calories_kcal": "~300-350", "sugar_g": "~25-30"}	can_an_nhanh, can_an_lanh_manh	health_conscious ("Quan tâm sức khoẻ"), fast_decision ("Quyết định nhanh"), routine_oriented ("Thiên về thói quen")	sporty ("Thể thao, năng động"), simple ("Đơn giản"), business_casual ("Công sở, thoải mái")	short_direct ("Ngắn gọn, Trực tiếp")
PRE-LU-GNH	Cơm Gà Nướng Mật Ong	Khẩu phần ăn đăng ký trước	Bữa trưa	Sản phẩm Phổ thông (Mainstream/Volume Driver)	Cơm, đùi gà nướng mật ong và bắp cải xào.	- Da gà giòn, thịt mềm<br>- Vị mặn ngọt cân bằng	com_van_phong, com_ga, bua_trua_du_chat	Mặn, ngọt.	Thơm mùi gà nướng mật ong.	Cơm mềm, thịt mềm, rau giòn	Nóng	Vừa đủ no	No bụng, hài lòng, không gây nặng bụng.	Nhân sự đăng ký bữa sáng theo tuần hoặc tối thiểu 24h	0	40000	-	-	Gạo, đùi gà, mật ong, bắp cải, cà rốt	Đậu nành (nước tương)	Nguyên liệu tươi mới được chọn mua mỗi sáng.	[{"ingredient": "Gạo, thịt gà, rau củ, gia vị", "supplier_name": "Bách Hóa Xanh / WinMart", "type": "Chuỗi siêu thị", "verification_notes": "Nguyên liệu tươi mới mua mỗi ngày, có hóa đơn đối chiếu.", "reference_links": []}]	Gà ướp sốt mật ong và nướng, rau củ xào nhanh.	Bữa ăn cân bằng, giàu protein	null	{"calories_kcal": "~550-650", "sugar_g": "~10"}	doi_bung, khong_biet_an_gi	routine_oriented ("Thiên về thói quen"), fast_decision ("Quyết định nhanh")	office_formal ("Công sở, trang trọng"), simple ("Đơn giản")	short_direct ("Ngắn gọn, Trực tiếp")
PRE-LU-TBL	Cơm Thịt Luộc Chấm Chao, Canh Mồng Tơi	Khẩu phần ăn đăng ký trước	Bữa trưa	Sản phẩm Phổ thông (Mainstream/Volume Driver)	Thịt ba rọi luộc mềm ngọt, chấm chao béo thơm đặc trưng, ăn kèm canh mồng tơi thanh mát.	- Vị cơm nhà, thanh mát<br>- Thịt luộc mềm, chao pha đặc trưng<br>- Ít dầu mỡ	com_van_phong, com_nha, thit_luoc, thanh_mat, de_tieu, it_dau_mo	Thịt luộc ngọt béo, chao mặn béo vừa miệng, canh mồng tơi thanh mát cân bằng vị giác.	Mùi chao béo nồng, hòa hương rau mồng tơi và thịt luộc thân thuộc.	Thịt mềm, da giòn sần sật, rau mềm.	Nóng	No lâu	No bụng, hài lòng nhưng cơ thể nhẹ nhàng, sảng khoái.	Nhân sự đăng ký bữa sáng theo tuần hoặc tối thiểu 24h	0	35000	-	-	Gạo, thịt ba rọi, chao, mồng tơi, đậu bắp, gia vị	Đậu nành	Nguyên liệu tươi mới được chọn mua mỗi sáng từ Bách Hóa Xanh/Winmart.	[{"ingredient": "Gạo, thịt ba rọi, chao, rau mồng tơi", "supplier_name": "Bách Hóa Xanh / WinMart", "type": "Chuỗi siêu thị", "verification_notes": "Nguyên liệu tươi mới mua mỗi ngày, có hóa đơn đối chiếu.", "reference_links": []}]	Thịt ba rọi luộc vừa tới, rau luộc giữ màu xanh, canh nấu mới.	Bữa ăn ít dầu mỡ, hỗ trợ cung cấp collagen từ da heo	[{"group_name": "Tùy chọn thêm", "type": "multiple", "choices": [{"name": "Thêm Thịt Luộc", "price_delta": 15000}, {"name": "Thêm Rau Luộc", "price_delta": 10000}]}]	{"calories_kcal": "~600-700", "sugar_g": "~5"}	nho_nha, an_nhe, met_moi, nong_nuc	calm_reflective ("Điềm tĩnh, cân nhắc"), routine_oriented ("Thiên về thói quen")	simple ("Đơn giản"), office_formal ("Công sở, trang trọng")	soft_slow ("Nhẹ nhàng, Chậm rãi")
PRE-LU-TKH	Cơm Thịt Kho Trứng, Canh Bí Đỏ	Khẩu phần ăn đăng ký trước	Bữa trưa	Sản phẩm Phổ thông (Mainstream/Volume Driver)	Thịt kho trứng đậm đà màu cánh gián, ăn cùng cơm trắng dẻo thơm và canh bí đỏ thanh mát.	- Vị đậm đà, quen thuộc<br>- Thịt kho mềm, thấm vị	com_van_phong, com_nha, thit_kho, am_bung, no_lau	Nước kho mặn ngọt thấm vào thịt mềm và trứng bùi, canh bí đỏ ngọt thanh cân bằng.	Nước kho thơm mùi tiêu và nước hàng, hòa quyện hương canh bí đỏ dịu nhẹ.	Cơm mềm, thịt mềm.	Nóng	No lâu	No bụng, cảm giác ấm cúng, thân thuộc.	Nhân sự đăng ký bữa sáng theo tuần hoặc tối thiểu 24h	0	40000	-	-	Gạo, thịt heo, trứng, bí đỏ, rau củ xào, gia vị	Trứng, Đậu nành	Nguyên liệu tươi mới được chọn mua mỗi sáng từ Bách Hóa Xanh/Winmart.	[{"ingredient": "Gạo, thịt heo, trứng, bí đỏ, rau củ", "supplier_name": "Bách Hóa Xanh / WinMart", "type": "Chuỗi siêu thị", "verification_notes": "Nguyên liệu tươi mới mua mỗi ngày, có hóa đơn đối chiếu.", "reference_links": []}]	Thịt và trứng kho liu riu cho thấm vị, canh và rau nấu mới mỗi ngày.	Bữa ăn cân bằng các nhóm chất, cung cấp protein từ thịt và trứng	[{"group_name": "Tùy chọn thêm", "type": "multiple", "choices": [{"name": "Thêm Thịt Kho", "price_delta": 10000}, {"name": "Thêm Trứng Kho", "price_delta": 7000}]}]	{"calories_kcal": "~650-800", "sugar_g": "~15"}	doi_bung, nho_nha, met_moi	routine_oriented ("Thiên về thói quen"), fast_decision ("Quyết định nhanh")	simple ("Đơn giản"), office_formal ("Công sở, trang trọng")	short_direct ("Ngắn gọn, Trực tiếp")
PRE-LU-MXS	Cơm Mực Xào Sả Ớt	Khẩu phần ăn đăng ký trước	Bữa trưa	Sản phẩm Phổ thông (Mainstream/Volume Driver)	Mực tươi giòn xào sả ớt thơm lừng, cay nồng, ăn cùng rau xào và canh ngọt dịu.	- Mực tươi, giòn<br>- Vị cay nồng, kích thích vị giác	com_van_phong, hai_san, mon_cay, tinh_tao	Mực ngọt tự nhiên quyện vị sả ớt cay ấm, được cân bằng bởi rau xào và canh ngọt.	Hương sả ớt phi vàng quyện mùi mực tươi và tỏi xào, thơm nồng.	Mực giòn, cơm mềm.	Nóng	Vừa đủ no	Cơ thể ấm lên, tinh thần tỉnh táo và sảng khoái hơn.	Nhân sự đăng ký bữa sáng theo tuần hoặc tối thiểu 24h	2	40000	-	-	Gạo, mực, sả, ớt, rau cải, bí đỏ, gia vị	Hải sản	Nguyên liệu tươi mới được chọn mua mỗi sáng.	[{"ingredient": "Gạo, mực, sả, ớt, rau củ", "supplier_name": "Bách Hóa Xanh / WinMart", "type": "Chuỗi siêu thị", "verification_notes": "Nguyên liệu tươi mới mua mỗi ngày, có hóa đơn đối chiếu.", "reference_links": []}]	Mực tươi xào lửa lớn với sả ớt để giữ độ giòn, rau xào nhanh.	Hỗ trợ làm ấm cơ thể, kích thích vị giác	[{"group_name": "Tùy chỉnh", "type": "single", "choices": [{"name": "Ít cay", "price_delta": 0}, {"name": "Cay nhiều", "price_delta": 0}]}, {"group_name": "Tùy chọn thêm", "type": "single", "choices": [{"name": "Thêm mực", "price_delta": 15000}]}]	{"calories_kcal": "~550-650", "sugar_g": "~8"}	buon_ngu, met_moi, can_tinh_tao	explorer ("Người khám phá"), energetic ("Năng lượng")	sporty ("Thể thao, năng động"), business_casual ("Công sở, thoải mái")	energetic ("Năng lượng"), short_direct ("Ngắn gọn, Trực tiếp")
PRE-LU-GCN	Cơm Gà Chiên Nước Mắm, Trứng Ốp La	Khẩu phần ăn đăng ký trước	Bữa trưa	Sản phẩm Phổ thông (Mainstream/Volume Driver)	Đùi gà chiên nước mắm vàng giòn, trứng ốp la béo ngậy, ăn cùng cơm nóng và canh rau thanh mát.	- Gà chiên thấm vị mắm tỏi<br>- Món ăn "quốc dân", dễ ăn	com_van_phong, com_ga, com_chien, no_lau	Gà chiên mặn ngọt, trứng ốp la béo ngậy, canh rau thanh mát cân bằng.	Hương gà chiên tỏi mắm, trứng béo và rau xào thơm tỏi.	Gà da giòn thịt mềm, cơm dẻo.	Nóng	No lâu	No đủ, hài lòng và tràn đầy năng lượng.	Nhân sự đăng ký bữa sáng theo tuần hoặc tối thiểu 24h	1	40000	-	-	Gạo, đùi gà, trứng, nước mắm, su su, cải ngọt, gia vị	Trứng, Cá (nước mắm), Đậu nành	Nguyên liệu tươi mới được chọn mua mỗi sáng.	[{"ingredient": "Gạo, thịt gà, trứng, rau củ", "supplier_name": "Bách Hóa Xanh / WinMart", "type": "Chuỗi siêu thị", "verification_notes": "Nguyên liệu tươi mới mua mỗi ngày, có hóa đơn đối chiếu.", "reference_links": []}]	Gà chiên giòn, sau đó áo qua sốt mắm tỏi ớt. Trứng ốp la theo yêu cầu.	Cung cấp protein hoàn chỉnh từ gà và trứng	[{"group_name": "Chế biến trứng", "type": "single", "choices": [{"name": "Ốp la lòng đào", "price_delta": 0}, {"name": "Ốp la chín kỹ", "price_delta": 0}]}, {"group_name": "Tùy chọn thêm", "type": "single", "choices": [{"name": "Thêm gà chiên", "price_delta": 20000}]}]	{"calories_kcal": "~700-850", "sugar_g": "~10"}	doi_bung, khong_biet_an_gi	routine_oriented ("Thiên về thói quen"), fast_decision ("Quyết định nhanh")	simple ("Đơn giản"), sporty ("Thể thao, năng động")	short_direct ("Ngắn gọn, Trực tiếp")
PRE-LU-CHS	Cơm Chiên Hải Sản, Canh Bí Xanh	Khẩu phần ăn đăng ký trước	Bữa trưa	Sản phẩm Phổ thông (Mainstream/Volume Driver)	Cơm chiên tơi hạt với tôm tươi, ăn cùng canh bí xanh hầm sườn non ngọt thanh.	- Cơm chiên tôm tươi<br>- Kèm canh bí xanh giải nhiệt	com_van_phong, com_chien, hai_san, thanh_mat	Cơm chiên đậm đà, tôm tươi ngọt, canh bí xanh sườn non thanh dịu.	Cơm chiên tỏi và hải sản tươi, hòa quyện vị ngọt mát của canh bí xanh.	Hạt cơm tơi xốp, tôm giòn.	Nóng	Vừa đủ no	No đủ nhưng cơ thể nhẹ nhàng, sảng khoái.	Nhân sự đăng ký bữa sáng theo tuần hoặc tối thiểu 24h	0	40000	-	-	Gạo, tôm, trứng, sườn non, bí xanh, bắp cải, gia vị	Hải sản, Trứng	Nguyên liệu tươi mới được chọn mua mỗi sáng.	[{"ingredient": "Gạo, tôm, trứng, sườn non, bí xanh", "supplier_name": "Bách Hóa Xanh / WinMart", "type": "Chuỗi siêu thị", "verification_notes": "Nguyên liệu tươi mới mua mỗi ngày, có hóa đơn đối chiếu.", "reference_links": []}]	Cơm chiên lửa lớn cùng tôm, rau củ. Canh bí xanh hầm sườn non.	Bữa ăn cân bằng, hỗ trợ giải nhiệt cơ thể	[{"group_name": "Tùy chọn thêm", "type": "single", "choices": [{"name": "Thêm trứng ốp la", "price_delta": 10000}]}]	{"calories_kcal": "~600-700", "sugar_g": "~5"}	nong_nuc, doi_bung	calm_reflective ("Điềm tĩnh, cân nhắc"), health_conscious ("Quan tâm sức khoẻ")	office_formal ("Công sở, trang trọng"), business_casual ("Công sở, thoải mái")	soft_slow ("Nhẹ nhàng, Chậm rãi")
PRE-LU-SKH	Cơm Sườn Kho, Trứng Ốp La	Khẩu phần ăn đăng ký trước	Bữa trưa	Sản phẩm Phổ thông (Mainstream/Volume Driver)	Sườn cốt lết kho mềm rục, đậm đà, ăn cùng trứng ốp la, rau xào và canh nóng.	- Sườn kho mềm, đậm đà<br>- Bữa ăn đầy đủ kho, xào, canh	com_van_phong, com_suon, com_nha, no_lau	Sườn kho mặn ngọt thấm vị, trứng béo ngậy, canh rau thanh mát.	Mùi thịt kho tiêu đậm đà, quyện trứng chiên béo và canh nóng.	Sườn mềm rục, cơm dẻo.	Nóng	No lâu	No đủ, hài lòng và ấm bụng.	Nhân sự đăng ký bữa sáng theo tuần hoặc tối thiểu 24h	1	50000	-	-	Gạo, sườn cốt lết, trứng, cải ngọt, bí đỏ, gia vị	Trứng, Đậu nành	Nguyên liệu tươi mới được chọn mua mỗi sáng.	[{"ingredient": "Gạo, sườn heo, trứng, rau củ", "supplier_name": "Bách Hóa Xanh / WinMart", "type": "Chuỗi siêu thị", "verification_notes": "Nguyên liệu tươi mới mua mỗi ngày, có hóa đơn đối chiếu.", "reference_links": []}]	Sườn kho lửa nhỏ cho thấm vị, mềm rục. Trứng ốp la theo yêu cầu.	Cung cấp canxi và phốt pho từ sườn, tốt cho xương	[{"group_name": "Chế biến trứng", "type": "single", "choices": [{"name": "Ốp la lòng đào", "price_delta": 0}, {"name": "Ốp la chín kỹ", "price_delta": 0}]}, {"group_name": "Tùy chọn thêm", "type": "single", "choices": [{"name": "Thêm sườn", "price_delta": 20000}]}]	{"calories_kcal": "~750-900", "sugar_g": "~15"}	doi_bung, can_nang_luong	routine_oriented ("Thiên về thói quen"), fast_decision ("Quyết định nhanh")	office_formal ("Công sở, trang trọng"), simple ("Đơn giản")	short_direct ("Ngắn gọn, Trực tiếp")
PRE-LU-CKC	Cơm Cá Nục Kho Cà	Khẩu phần ăn đăng ký trước	Bữa trưa	Sản phẩm Phổ thông (Mainstream/Volume Driver)	Cá nục kho cà chua đậm đà, mềm rục, ăn cùng cơm trắng nóng hổi và canh rau.	- Vị cá kho dân dã, gợi ký ức<br>- Cá kho mềm, thấm vị	com_van_phong, com_nha, ca_kho, am_bung	Cá mềm thơm trong sốt cà chua chua nhẹ, đậm đà.	Cá kho cà chua, hành tỏi phi hòa hương canh xương hầm ấm cúng.	Cá mềm, cơm dẻo.	Nóng	Vừa đủ no	Vị giác được vỗ về bởi hương vị quen thuộc, thư thái.	Nhân sự đăng ký bữa sáng theo tuần hoặc tối thiểu 24h	1	40000	-	-	Gạo, cá nục, cà chua, bắp cải, sườn, gia vị	Cá	Nguyên liệu tươi mới được chọn mua mỗi sáng.	[{"ingredient": "Gạo, cá nục, cà chua, rau củ", "supplier_name": "Bách Hóa Xanh / WinMart", "type": "Chuỗi siêu thị", "verification_notes": "Nguyên liệu tươi mới mua mỗi ngày, có hóa đơn đối chiếu.", "reference_links": []}]	Cá nục tươi kho với sốt cà chua tươi, hành tỏi cho đến khi thấm vị.	Giàu Omega-3 từ cá, tốt cho tim mạch	[{"group_name": "Tùy chọn thêm", "type": "single", "choices": [{"name": "Thêm cá kho", "price_delta": 10000}]}]	{"calories_kcal": "~550-650", "sugar_g": "~10"}	nho_nha, buon	calm_reflective ("Điềm tĩnh, cân nhắc"), routine_oriented ("Thiên về thói quen")	simple ("Đơn giản"), office_formal ("Công sở, trang trọng")	soft_slow ("Nhẹ nhàng, Chậm rãi")
